what,when,with,where,why
"Search Committee for Director/Assistant Dean, Diversity, Equity, Inclusion, and Accessibility (DEIA)",April 2022 - Present,School of Information Sciences at the University of Illinois at Urbana-Champaign,"Champaign, IL",
Diversity Committee,Sep. 2021 - Apr. 2022,School of Information Sciences at the University of Illinois at Urbana-Champaign,"Champaign, IL",
Program Committee Member,Dec. 2021 - Feb. 2022,International Web for All Conference (W4A) 2022,Virtual,
Accessibility Chair,Oct. 2021 - Jul. 2022,15th International Conference on Educational Data Mining,Durham,
Journal Reviewer,Sep. 2021,Special issue on ethnography and learning design,TechTrends,
Reviewer,2020,The Network of Academic Programs in the Learning Sciences (NAPLeS),International Society of the Learning Sciences,Reviewed abstracts on equity and disability.
College of Education Technology Committee,Aug. 2019 - May. 2020,The Pennsylvania State University,"University Park, PA",Worked as a student committee member to support understanding of educational technology for College of Education.
Libraries' Accessibility Student Advisory Group,Aug. 2019 - May. 2020,The Pennsylvania State University,"University Park, PA",
Reviewer,2019,The 14th International Conference of the Learning Sciences (ICLS),"Nashville, TN",
Reviewer,"2019, 2020","The ACM CHI Conference on Human Factors in Computing Systems (CHI 2020, 2021)","Honolulu, HI, Yokohama, Japan",
Reviewer,2019,The 1st International Conference on Quantitative Ethnography (ICQE),"Madison, WI",
Reviewer,2018,The 3rd Learning Sciences Graduate Student Conference (LSGSC),"Nashville, TN",
Reviewer,2017,The 2nd Learning Sciences Graduate Student Conference (LSGSC),"Bloomington, IN",
Funding Reviewer,2016,"Center for Online Innovation in Learning (COIL), The Pennsylvania State University","University Park, PA",
